,,,ST,,,DTW,,Difference
Subject,Template,OnSet,OffSet,Time,OnSet,OffSet,Time,OnSet,OffSet,Time
20190410105504.dat,0,4.4,7.5,3.0999999999999996,4.2,2.147483647E8,2.147483605E8,-0.20000000000000018,2.147483572E8,2.147483574E8
20190410105609.dat,2,3.9,11.5,7.6,3.9,11.2,7.299999999999999,0.0,-0.3000000000000007,-0.3000000000000007
20190412105507.dat,1,5.1,7.5,2.4000000000000004,4.5,10.5,6.0,-0.5999999999999996,3.0,3.5999999999999996
20190412105640.dat,1,4.1,6.6,2.5,3.6,6.7,3.1,-0.49999999999999956,0.10000000000000053,0.6000000000000001
20190419100827.dat,0,4.4,8.5,4.1,3.9,2.147483647E8,2.1474836079999998E8,-0.5000000000000004,2.147483562E8,2.147483567E8
20190419100935.dat,0,4.2,10.1,5.8999999999999995,3.8,2.147483647E8,2.1474836089999998E8,-0.40000000000000036,2.147483546E8,2.1474835499999997E8
20190425093204.dat,2,4.4,9.3,4.9,4.4,9.2,4.799999999999999,0.0,-0.10000000000000142,-0.10000000000000142
20190425093329.dat,2,4.1,12.0,7.9,3.6,11.8,8.200000000000001,-0.49999999999999956,-0.1999999999999993,0.3000000000000007
20190425093436.dat,2,4.4,16.5,12.1,3.8,16.4,12.599999999999998,-0.6000000000000005,-0.10000000000000142,0.4999999999999982
20190426104411.dat,1,4.6,10.1,5.5,3.8,9.4,5.6000000000000005,-0.7999999999999998,-0.6999999999999993,0.10000000000000053
20190524104504.dat,3,4.0,10.6,6.6,3.8,13.2,9.399999999999999,-0.20000000000000018,2.5999999999999996,2.799999999999999
20190524104628.dat,1,4.0,9.9,5.9,4.0,8.4,4.4,0.0,-1.5,-1.5
20190524104725.dat,1,4.1,10.3,6.200000000000001,3.8,11.2,7.3999999999999995,-0.2999999999999998,0.8999999999999986,1.1999999999999984
20190530164630.dat,1,4.3,8.9,4.6000000000000005,3.9,8.8,4.9,-0.3999999999999999,-0.09999999999999964,0.2999999999999998
20190530164725.dat,1,4.3,9.1,4.8,3.7,9.0,5.3,-0.5999999999999996,-0.09999999999999964,0.5
20190530164902.dat,1,4.3,8.9,4.6000000000000005,3.7,8.7,4.999999999999999,-0.5999999999999996,-0.20000000000000107,0.3999999999999986
20190621092738.dat,1,5.3,12.7,7.3999999999999995,4.1,10.2,6.1,-1.2000000000000002,-2.5,-1.2999999999999998
20190621092817.dat,1,4.7,9.9,5.2,4.6,10.3,5.700000000000001,-0.10000000000000053,0.40000000000000036,0.5000000000000009
20190621092904.dat,3,5.9,10.9,5.0,4.9,12.0,7.1,-1.0,1.0999999999999996,2.0999999999999996
20190705092327.dat,0,5.0,10.1,5.1,4.3,2.147483647E8,2.1474836039999998E8,-0.7000000000000002,2.147483546E8,2.1474835529999998E8
20190705092452.dat,2,4.6,6.7,2.1000000000000005,3.6,5.2,1.6,-0.9999999999999996,-1.5,-0.5000000000000004
